,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1659,2454,UnlimitedIP,UIP,unlimitedip,8,2018-01-24T00:00:00.000Z,['marketplace'],,1539985525.0099177,2839985525.01,,1660,,,,2022-08-29T15:16:00.000Z,0.0003400028805532868,151910.18807012,-46.659,0.88416261,1.79742159,2.72226337,-8.38444772,2.52147526,-9.03391413,523599.51451373775,0.0,965603.26,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4290563c2d7c255b5eec87f2d3bd10389f991d68,2022-08-29 15:20:33.561117
1660,6933,Nuco.cloud,NCDT,nuco-cloud,2,2020-09-08T00:00:00.000Z,[],50000000.0,25000000.0,50000000.0,,1661,25000000.0,523204.4326631754,,2022-08-29T15:16:00.000Z,0.020928177306527015,44838.89348181,-0.0765,-0.13006565,0.38473018,-2.8264427,-1.76797418,19.02097607,-15.47307486,523204.4326631754,0.0,1046408.87,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0xe0c8b298db4cffe05d1bea0bb1ba414522b33c1b,2022-08-29 15:20:33.561117
1661,2511,WePower,WPR,wepower,1,2018-02-09T00:00:00.000Z,"['marketplace', 'crowdfunding']",,688808615.5179548,745248183.0967742,,1662,,,,2022-08-29T15:16:00.000Z,0.0007508400022524,333.15811653,4.8881,0.0,0.06231972,-14.3291536,-0.8953767,-15.26243699,-41.72591762,517185.0624269737,0.0001,559562.15,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4CF488387F035FF08c371515562CBa712f9015d4,2022-08-29 15:20:33.561117
1662,6625,Innovation Blockchain Payment,IBP,innovation-blockchain-payment,3,2020-08-17T00:00:00.000Z,[],2000000000.0,188009206.4,2000000000.0,,1663,223839646.0,615600.9180692474,,2022-08-29T15:16:00.000Z,0.0027501871499084098,381372.28628822,-49.563,0.0,-4.66822859,-3.34471276,61.67180463,1.57757048,-0.11880187,517060.50350575795,0.0,5500374.3,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x7D14b842630cbc2530cB288109E5719e0C4d67d7,2022-08-29 15:20:33.561117
1663,2506,Swarm,SWM,swarm-network,9,2018-02-07T00:00:00.000Z,"['asset-management', 'crowdfunding']",,78189670.12433334,99535052.4739791,,1664,,,,2022-08-29T15:16:00.000Z,0.006572021730314452,431.29933084,-61.8884,1.65934015,17.68629359,-0.30979864,-10.85118893,-12.04319023,-29.00662535,513864.2111432374,0.0001,654146.53,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x3505f494c3f0fed0b594e01fa41dd3967645ca39,2022-08-29 15:20:33.561117
1664,10666,Lanceria,LANC,lanceria,9,2021-06-26T00:00:00.000Z,['bnb-chain'],350000000.0,269152549.2201173,350000000.0,,1665,,,,2022-08-29T15:16:00.000Z,0.0019060634396025795,2279.39387829,-28.1296,0.26527643,0.96116294,-0.97428194,-73.16265683,-52.58376102,-62.65921713,513021.8337442993,0.0,667122.2,,2022-08-29T15:16:00.000Z,1839.0,BNB,BNB,bnb,0xDd848E0CbFD3771dC7845B10072d973C375271e2,2022-08-29 15:20:33.561117
1665,6407,YF Link,YFL,yflink,9,2020-08-10T00:00:00.000Z,"['defi', 'dao', 'yield-farming', 'governance']",52000.0,54532.30974488,57000.0,,1666,,,,2022-08-29T15:16:00.000Z,9.363846403218528,72.80991129,-4.0966,0.50227895,35.10178022,5.48903857,-68.7972016,-53.61322503,-66.71586082,510632.1724637933,0.0,486920.01,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x28cb7e841ee97947a86B06fA4090C8451f64c0be,2022-08-29 15:20:33.561117
1666,8867,DeHive,DHV,dehive,13,2021-03-18T00:00:00.000Z,"['defi', 'poolz-finance-portfolio', 'exnetwork-capital-portfolio']",10000000.0,4019375.0,5614361.0,,1667,,,,2022-08-29T15:16:00.000Z,0.12701980845770286,82306.78540414,38.1381,0.11714977,-0.33900337,-4.46753229,-5.8905953,44.41301892,5.49824197,510540.2426196794,0.0,1270198.08,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x62Dc4817588d53a056cBbD18231d91ffCcd34b2A,2022-08-29 15:20:33.561117
1667,4026,LiquidApps,DAPP,liquid-apps,6,2019-06-28T00:00:00.000Z,"['platform', 'distributed-computing', 'interoperability', 'smart-contracts']",,709902293.7624,1056939327.1283,,1668,,,,2022-08-29T15:16:00.000Z,0.0007179384871211278,3216.28748097,-5.9498,1.36609562,-2.90493745,-13.93041367,-4.50275885,10.18773064,-56.53034517,509666.17878759594,0.0,758817.42,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x939B462ee3311f8926c047D2B576C389092b1649,2022-08-29 15:20:33.561117
1668,1466,Hush,HUSH,hush,2,2016-12-01T00:00:00.000Z,"['mineable', 'pow', 'equihash', 'privacy']",21000000.0,11991948.0,21000000.0,,1669,11838370.73112515,502293.9495003021,,2022-08-29T15:16:00.000Z,0.042429314042318624,169.40096058,-23.7864,-0.10382503,-13.23376131,-10.85193041,-47.94947771,-3.6284143,-51.51432282,508810.12767115474,0.0,891015.59,,2022-08-29T15:16:00.000Z,,,,,,2022-08-29 15:20:33.561117
